user_id,name,age,location,skills,experience_years,preferred_role,preferred_type,salary_expectation,active
1001,Amani Deep,24,Bangalore,"Kubernetes,DevOps,Node.js,React,Machine Learning",8,Frontend Developer,Internship,433306,True
1002,Hazel Cheema,23,Chennai,"Tableau,Python,Docker,Flutter",3,Cloud Engineer,Hybrid,327257,True
1003,Yakshit Gupta,34,Mumbai,"Node.js,Docker,Machine Learning,React,Java",6,Frontend Developer,Hybrid,1742654,False
1004,Rohan Mander,22,Remote,"MongoDB,C++,TensorFlow",10,Cybersecurity Analyst,Hybrid,1106516,True
1005,Dishani Krish,22,Chennai,"C++,Kubernetes,React,MongoDB,Node.js",7,Mobile Developer,Remote,1852651,False
1006,Hansh Bumb,27,Delhi,"AWS,Cybersecurity,Kubernetes",2,Cloud Engineer,Internship,1432243,True
1007,Shray Gola,31,Bangalore,"Java,Machine Learning,MongoDB,SQL",1,ML Engineer,Hybrid,1191820,False
1008,Hansh Sethi,33,Remote,"SQL,Node.js,Kubernetes,DevOps",9,Data Analyst,Internship,1818323,True
1009,Ranbir Mani,25,Remote,"Java,React,Node.js",10,Backend Engineer,Internship,566454,False
1010,Himmat Buch,33,Remote,"Cybersecurity,Python,React,SQL,MongoDB",10,Mobile Developer,Full-time,1531028,False
1011,Neysa Sangha,26,Remote,"SQL,Tableau,AWS",8,Frontend Developer,Hybrid,2429292,True
1012,Ehsaan Ravi,25,Mumbai,"Cybersecurity,Tableau,Python,Machine Learning",7,Data Scientist,Full-time,1822451,False
1013,Aaryahi Wable,28,Bangalore,"DevOps,C++,Cybersecurity,Power BI",1,Full Stack Developer,Remote,838512,False
1014,Jhanvi Luthra,38,Pune,"Tableau,Flutter,Docker,DevOps,Spring Boot",4,Data Analyst,Hybrid,2137524,False
1015,Yuvaan Kamdar,24,Chennai,"C++,Machine Learning,Python,Kubernetes",9,ML Engineer,Full-time,597766,True
1016,Nishith Rajan,28,Hyderabad,"Machine Learning,C++,Tableau",3,DevOps Engineer,Internship,1198574,True
1017,Lagan Thaker,39,Remote,"Power BI,Flutter,Docker,React",1,Data Analyst,Hybrid,2076617,False
1018,Hiran Iyer,35,Bangalore,"Java,MongoDB,Machine Learning",1,ML Engineer,Remote,1097793,False
1019,Sana Grover,25,Kolkata,"SQL,Android,Kubernetes,C++",7,Full Stack Developer,Full-time,512182,True
1020,Divit Gandhi,23,Chennai,"Flutter,Power BI,Cybersecurity,Docker",6,Data Scientist,Remote,1889528,True
1021,Rhea Karan,33,Delhi,"TensorFlow,Flutter,Power BI,Node.js,React,Tableau",3,Data Scientist,Full-time,1615353,True
1022,Adira Sani,22,Remote,"Java,Tableau,C++,AWS",1,Cybersecurity Analyst,Full-time,1286516,False
1023,Vihaan Mander,24,Chennai,"C++,Flutter,Tableau",5,DevOps Engineer,Remote,1617782,True
1024,Anya Rajagopalan,29,Kolkata,"TensorFlow,Android,Machine Learning,C++",0,Cloud Engineer,Full-time,607277,True
1025,Divit Hayre,37,Delhi,"Spring Boot,C++,Kubernetes,DevOps",4,Backend Engineer,Internship,1568848,True
1026,Ayesha Chad,38,Delhi,"Node.js,SQL,React",1,Full Stack Developer,Remote,1442311,False
1027,Onkar Golla,40,Chennai,"Docker,SQL,Tableau,Power BI,Node.js",0,Frontend Developer,Internship,1460480,True
1028,Hrishita Vasa,21,Mumbai,"SQL,AWS,Android,Flutter",8,Data Scientist,Full-time,615595,True
1029,Tanya Ganesh,38,Bangalore,"DevOps,Cybersecurity,Node.js,Flutter,C++",0,DevOps Engineer,Hybrid,467331,False
1030,Inaaya  Setty,27,Chennai,"Spring Boot,Cybersecurity,Flutter",9,Backend Engineer,Remote,981581,True
1031,Shamik Bhargava,34,Bangalore,"Machine Learning,Flutter,Kubernetes,SQL",2,Frontend Developer,Internship,462422,False
1032,Alia Cheema,28,Chennai,"Spring Boot,TensorFlow,Kubernetes,Tableau,Python,Machine Learning",3,Data Analyst,Hybrid,1468545,True
1033,Nitya Tata,29,Mumbai,"Cybersecurity,Machine Learning,Python,React,Android,Node.js",2,Cybersecurity Analyst,Hybrid,460462,True
1034,Madhav Ganesan,40,Kolkata,"Machine Learning,Flutter,Tableau,React,Docker",9,ML Engineer,Hybrid,486170,False
1035,Rasha Doshi,21,Chennai,"Flutter,C++,Machine Learning,Tableau,Power BI",1,DevOps Engineer,Hybrid,2012924,False
1036,Dharmajan Lanka,33,Delhi,"Docker,Flutter,MongoDB,AWS",9,Cybersecurity Analyst,Hybrid,2003202,True
1037,Tushar Balakrishnan,30,Delhi,"Flutter,Machine Learning,Android,Tableau",7,ML Engineer,Internship,1011737,True
1038,Priyansh Mangat,30,Mumbai,"Kubernetes,TensorFlow,DevOps",3,Backend Engineer,Full-time,493834,True
1039,Jivika Ramesh,36,Hyderabad,"Flutter,Docker,MongoDB,Power BI,Cybersecurity,React",2,Data Scientist,Full-time,2083192,True
1040,Raghav Kunda,26,Remote,"Cybersecurity,Kubernetes,React",7,Backend Engineer,Internship,1630844,False
1041,Krish Maharaj,40,Kolkata,"AWS,Power BI,Android,SQL,MongoDB,React",10,DevOps Engineer,Internship,1303469,False
1042,Kabir Bhandari,35,Hyderabad,"Kubernetes,SQL,Machine Learning,Tableau,Android",8,Frontend Developer,Remote,932629,True
1043,Indranil Saraf,33,Pune,"C++,Flutter,Cybersecurity,Machine Learning",8,Cloud Engineer,Internship,561161,True
1044,Hansh Boase,34,Kolkata,"DevOps,MongoDB,Power BI",0,Mobile Developer,Hybrid,1935722,False
1045,Ivana Sastry,38,Chennai,"Kubernetes,SQL,Flutter,Power BI,Python,Docker",5,Data Analyst,Remote,2260376,True
1046,Shlok Sani,40,Bangalore,"DevOps,Python,C++,Flutter,Tableau,Power BI",7,Backend Engineer,Full-time,1391174,False
1047,Neysa Bhatt,31,Chennai,"Machine Learning,DevOps,MongoDB,SQL,Tableau,Flutter",6,DevOps Engineer,Full-time,2272609,True
1048,Myra Ratta,38,Bangalore,"Kubernetes,C++,Java,Python,React",3,Data Scientist,Remote,1300530,True
1049,Ritvik Bath,36,Hyderabad,"Android,SQL,Spring Boot,AWS",9,Cybersecurity Analyst,Full-time,986883,False
1050,Sumer Sridhar,24,Bangalore,"DevOps,MongoDB,Cybersecurity,Docker,Java",9,ML Engineer,Full-time,1564929,True
1051,Piya Buch,39,Bangalore,"Cybersecurity,Flutter,Spring Boot,C++,SQL",10,Mobile Developer,Full-time,2061854,False
1052,Keya Sridhar,24,Kolkata,"Android,Node.js,Flutter,AWS,Spring Boot",8,DevOps Engineer,Internship,2249821,False
1053,Aradhya Sodhi,39,Delhi,"Kubernetes,C++,SQL,Android,React",7,Cybersecurity Analyst,Internship,1710949,True
1054,Advik Raval,36,Mumbai,"Power BI,Docker,Spring Boot,SQL",5,DevOps Engineer,Hybrid,342576,True
1055,Tejas Thaman,23,Chennai,"Power BI,Cybersecurity,Kubernetes,DevOps,Machine Learning,Spring Boot",7,Cloud Engineer,Full-time,690294,False
1056,Madhup Kapur,28,Kolkata,"TensorFlow,Spring Boot,Power BI,Cybersecurity",6,Full Stack Developer,Hybrid,1775600,False
1057,Purab Choudhary,29,Delhi,"Kubernetes,React,Docker,Machine Learning,Java",8,Backend Engineer,Remote,1207582,False
1058,Uthkarsh Kannan,29,Delhi,"Docker,TensorFlow,Kubernetes",5,Backend Engineer,Hybrid,359342,True
1059,Bhavin Lall,29,Bangalore,"Cybersecurity,TensorFlow,Node.js",10,Cloud Engineer,Full-time,351444,False
1060,Drishya Thakkar,36,Remote,"Machine Learning,AWS,Java,SQL,Flutter,Kubernetes",1,Frontend Developer,Internship,2362534,True
1061,Samiha Baral,39,Bangalore,"Node.js,TensorFlow,C++,Kubernetes",1,Full Stack Developer,Internship,1246600,False
1062,Tanya Toor,35,Remote,"DevOps,Flutter,TensorFlow,Java,Tableau",1,ML Engineer,Remote,1410006,True
1063,Advika Bail,26,Chennai,"Cybersecurity,C++,AWS,Python",6,Cloud Engineer,Internship,1521630,True
1064,Krish Sekhon,28,Delhi,"Android,C++,Kubernetes,SQL,MongoDB",10,Cybersecurity Analyst,Remote,2083162,True
1065,Rania Shanker,38,Chennai,"SQL,Node.js,C++,Java",2,DevOps Engineer,Hybrid,2141943,True
1066,Onkar Subramaniam,35,Delhi,"SQL,Tableau,Power BI,Android,Java,TensorFlow",0,Data Analyst,Hybrid,1350119,True
1067,Charvi Balay,23,Chennai,"SQL,Java,AWS",7,Full Stack Developer,Internship,1466673,True
1068,Shanaya Jain,39,Kolkata,"C++,Power BI,Spring Boot,Flutter,AWS,Android",10,Frontend Developer,Remote,1683296,False
1069,Amira Sachdev,36,Delhi,"Cybersecurity,Java,Android,C++,AWS,Node.js",5,Frontend Developer,Internship,2458373,True
1070,Kiara Edwin,38,Remote,"Java,Docker,Tableau,Spring Boot,TensorFlow,MongoDB",7,Cloud Engineer,Full-time,1153785,False
1071,Mohanlal Swaminathan,38,Pune,"Android,Power BI,React,Python,Machine Learning",9,ML Engineer,Remote,1603380,True
1072,Dishani Swaminathan,38,Kolkata,"Kubernetes,React,Android",1,Backend Engineer,Internship,1524156,False
1073,Mannat Kala,34,Remote,"Kubernetes,Android,Node.js,MongoDB,React,TensorFlow",8,Backend Engineer,Full-time,1458665,False
1074,Zain Saha,31,Delhi,"TensorFlow,DevOps,Power BI",2,Cloud Engineer,Internship,1747554,False
1075,Gatik Mahajan,38,Kolkata,"Machine Learning,Docker,Kubernetes,MongoDB,React,Flutter",6,Data Scientist,Hybrid,2283806,False
1076,Piya Sekhon,33,Pune,"Java,Node.js,Tableau,Machine Learning,Flutter,DevOps",7,Frontend Developer,Internship,364372,True
1077,Ira Tank,34,Pune,"Power BI,SQL,Machine Learning",9,Data Analyst,Full-time,1678103,False
1078,Abram Hora,31,Remote,"C++,Kubernetes,TensorFlow",3,Frontend Developer,Internship,712900,True
1079,Kabir Thaman,35,Pune,"Python,Java,Machine Learning,Cybersecurity,Node.js",5,Mobile Developer,Internship,910563,True
1080,Kartik Randhawa,37,Kolkata,"AWS,DevOps,C++,MongoDB",9,ML Engineer,Internship,900279,True
1081,Amira Mall,35,Delhi,"SQL,Python,Android,TensorFlow,Machine Learning,DevOps",2,Frontend Developer,Internship,1749407,False
1082,Nirvaan Kunda,34,Delhi,"TensorFlow,Docker,MongoDB,Power BI,Java,React",6,Cybersecurity Analyst,Hybrid,1540978,False
1083,Taran Tak,21,Kolkata,"Python,Java,Power BI,TensorFlow,MongoDB",3,Cybersecurity Analyst,Hybrid,1218571,True
1084,Vivaan Dutta,40,Delhi,"React,Java,TensorFlow,Android",0,Cybersecurity Analyst,Hybrid,851181,True
1085,Ojas Bains,30,Mumbai,"AWS,Docker,Node.js,Spring Boot,SQL,Android",4,Backend Engineer,Hybrid,2321016,False
1086,Zoya Dara,31,Hyderabad,"C++,Node.js,Kubernetes,MongoDB,Flutter,Power BI",8,Mobile Developer,Full-time,1954965,True
1087,Abram Babu,29,Hyderabad,"Spring Boot,SQL,MongoDB,DevOps,Java,Machine Learning",3,Cloud Engineer,Full-time,1675758,True
1088,Amira Sheth,23,Remote,"Flutter,React,Node.js,Java,Python",4,Cloud Engineer,Full-time,707652,True
1089,Farhan Babu,38,Pune,"Android,Spring Boot,Flutter,Node.js,DevOps,Docker",10,Frontend Developer,Internship,2011762,False
1090,Manjari Buch,22,Mumbai,"Android,DevOps,Kubernetes,Spring Boot",1,Mobile Developer,Hybrid,553965,False
1091,Ishaan Kohli,29,Chennai,"Android,C++,Docker",10,Cybersecurity Analyst,Full-time,512141,False
1092,Shaan Talwar,28,Pune,"C++,Cybersecurity,Docker,Tableau",3,Mobile Developer,Remote,311893,False
1093,Ehsaan Sandhu,25,Pune,"AWS,React,Python,Node.js,Tableau",5,ML Engineer,Hybrid,366190,True
1094,Vanya Varty,29,Bangalore,"Flutter,Tableau,React,C++",7,Cloud Engineer,Hybrid,2452676,True
1095,Nayantara Kata,35,Chennai,"Tableau,TensorFlow,Android",10,Data Scientist,Full-time,2308995,False
1096,Badal Khalsa,34,Hyderabad,"Android,C++,Cybersecurity,Machine Learning,TensorFlow,Tableau",1,Backend Engineer,Hybrid,1663926,False
1097,Uthkarsh Dani,40,Delhi,"Tableau,Flutter,React,DevOps,Cybersecurity,Machine Learning",10,Full Stack Developer,Remote,2103844,False
1098,Ishaan Dalal,28,Kolkata,"Android,MongoDB,Flutter,React,AWS",6,Mobile Developer,Hybrid,1869932,True
1099,Gokul Sangha,36,Hyderabad,"C++,DevOps,Flutter",1,Mobile Developer,Remote,551578,False
1100,Aayush Dhar,24,Kolkata,"Flutter,Java,TensorFlow,Tableau,AWS",1,Cybersecurity Analyst,Remote,948985,False
1101,Mohanlal Butala,28,Hyderabad,"Cybersecurity,Spring Boot,React,SQL,TensorFlow",3,Data Analyst,Full-time,1421757,True
1102,Jivika Sarna,26,Delhi,"Machine Learning,Spring Boot,Python,AWS,Flutter",2,Cybersecurity Analyst,Internship,591862,True
1103,Romil Shetty,21,Hyderabad,"MongoDB,Flutter,Android,Machine Learning",2,Mobile Developer,Hybrid,1660560,True
1104,Seher Majumdar,22,Pune,"Java,C++,SQL,Android",10,Data Analyst,Internship,2154067,False
1105,Ivan Tailor,29,Chennai,"Spring Boot,Flutter,React",4,Cybersecurity Analyst,Internship,1593604,True
1106,Zara Banerjee,28,Kolkata,"Python,Docker,TensorFlow",3,Backend Engineer,Hybrid,1514029,False
1107,Jayan Rastogi,24,Bangalore,"Flutter,AWS,Node.js,MongoDB,SQL,Spring Boot",3,Full Stack Developer,Hybrid,602306,False
1108,Yashvi Shan,22,Kolkata,"Android,C++,Machine Learning",9,Data Analyst,Internship,2051935,False
1109,Farhan Sodhi,24,Kolkata,"Machine Learning,AWS,Android",5,Frontend Developer,Internship,744022,True
1110,Sara Kale,34,Kolkata,"MongoDB,TensorFlow,Machine Learning",3,Mobile Developer,Remote,620358,True
1111,Bhavin Zachariah,37,Chennai,"Spring Boot,Node.js,Kubernetes,React,C++",4,ML Engineer,Remote,941182,True
